Q,A,label
골든 딜리셔스 애플의 칼로리는 몇이야?,(1개) 중간크기당 - 칼로리: 72kcal | 지방: 0.23g | 탄수화물: 19.06g | 단백질: 0.36g,1
골뱅이무침의 칼로리는 몇이야?,(1인분)당 - 칼로리: 293kcal | 지방: 4.46g | 탄수화물: 34.68g | 단백질: 29.85g,1
골뱅이의 칼로리는 몇이야?,(100g)당 - 칼로리: 65kcal | 지방: 0.90g | 탄수화물: 4.00g | 단백질: 10.00g,1
곱사송어의 칼로리는 몇이야?,1/2 마리당 - 칼로리: 184kcal | 지방: 5.49g | 탄수화물: 0.00g | 단백질: 31.70g,1
곶감의 칼로리는 몇이야?,(1개)당 - 칼로리: 93kcal | 지방: 0.20g | 탄수화물: 24.97g | 단백질: 0.47g,1
과메기의 칼로리는 몇이야?,(100g)  당 - 칼로리: 177kcal | 지방: 9.95g | 탄수화물: 0g | 단백질: 20.25g,1
과일 와플의 칼로리는 몇이야?,1 조각 원형 (지름 10 cm)(냉동 포함)당 - 칼로리: 108kcal | 지방: 3.21g | 탄수화물: 17.47g | 단백질: 2.50g,1
과일 요구르트의 칼로리는 몇이야?,(1컵)당 - 칼로리: 243kcal | 지방: 2.82g | 탄수화물: 45.67g | 단백질: 9.75g,1
과일 치즈케이크의 칼로리는 몇이야?,1 조각당 - 칼로리: 388kcal | 지방: 19.10g | 탄수화물: 46.72g | 단백질: 8.88g,1
과일 캐슈넛 범벅 샐러드의 칼로리는 몇이야?,(1인분)  (304g)당 - 칼로리: 455kcal | 지방: 30.00g | 탄수화물: 34.00g | 단백질: 15.00g,1
과일사이다 파인애플의 칼로리는 몇이야?,(1인분)  (380ml)당 - 칼로리: 192kcal | 지방: 0.00g | 탄수화물: 48.00g | 단백질: 0.00g,1
과일사이다의 칼로리는 몇이야?,(1인분)  (380ml)당 - 칼로리: 184kcal | 지방: 0.00g | 탄수화물: 46.00g | 단백질: 0.00g,1
과일샐러드의 칼로리는 몇이야?,(100g)  당 - 칼로리: 57kcal | 지방: 0.86g | 탄수화물: 13.16g | 단백질: 0.67g,1
과일야채샐러드 녹황의 칼로리는 몇이야?,1개 (190ml)당 - 칼로리: 75kcal | 지방: 0.00g | 탄수화물: 19.00g | 단백질: 0.00g,1
과일야채샐러드 레드의 칼로리는 몇이야?,1회 (200ml)당 - 칼로리: 71kcal | 지방: 0.00g | 탄수화물: 18.00g | 단백질: 0.00g,1
과일야채샐러드 주스의 칼로리는 몇이야?,1회 (190ml)당 - 칼로리: 84kcal | 지방: 0.00g | 탄수화물: 21.00g | 단백질: 0.00g,1
관자의 칼로리는 몇이야?,(100g)  당 - 칼로리: 106kcal | 지방: 1.20g | 탄수화물: 2.16g | 단백질: 20.08g,1
광어의 칼로리는 몇이야?,(100g)  당 - 칼로리: 103kcal | 지방: 1.72g | 탄수화물: 0g | 단백질: 20.44g,1
광어회의 칼로리는 몇이야?,(1개)당 - 칼로리: 31kcal | 지방: 0.65g | 탄수화물: 0.00g | 단백질: 5.90g,1
교촌허니스파클링의 칼로리는 몇이야?,(1인분)  (250ml)당 - 칼로리: 75kcal | 지방: 0.00g | 탄수화물: 19.00g | 단백질: 0.00g,1
구운 사과의 칼로리는 몇이야?,(1개)당 - 칼로리: 162kcal | 지방: 0.27g | 탄수화물: 42.42g | 단백질: 0.43g,1
구운어묵의 칼로리는 몇이야?,(100g)당 - 칼로리: 150kcal | 지방: 1.10g | 탄수화물: 23.00g | 단백질: 12.00g,1
국수전골의 칼로리는 몇이야?,(1인분)당 - 칼로리: 458kcal | 지방: 17.56g | 탄수화물: 74.66g | 단백질: 7.34g,1
군산식 일품 아귀찜의 칼로리는 몇이야?,(1인분)  (1245g)당 - 칼로리: 642kcal | 지방: 7.00g | 탄수화물: 48.00g | 단백질: 95.00g,1
굴비구이의 칼로리는 몇이야?,(1마리)당 - 칼로리: 121kcal | 지방: 7.44g | 탄수화물: 0.17g | 단백질: 12.37g,1
굴비의 칼로리는 몇이야?,(1마리)당 - 칼로리: 71kcal | 지방: 1.81g | 탄수화물: 0g | 단백질: 12.95g,1
굴의 칼로리는 몇이야?,1 태평양산당 - 칼로리: 33kcal | 지방: 1.18g | 탄수화물: 1.88g | 단백질: 3.38g,1
규돈의 칼로리는 몇이야?,(1인분)당 - 칼로리: 699kcal | 지방: 21.64g | 탄수화물: 96.81g | 단백질: 25.68g,1
귤의 칼로리는 몇이야?,(1개)당 - 칼로리: 35kcal | 지방: 0.11g | 탄수화물: 8.89g | 단백질: 0.63g,1
그레이프그린의 칼로리는 몇이야?,(1인분)  (350ml)당 - 칼로리: 30kcal | 지방: 0.50g | 탄수화물: 3.00g | 단백질: 0.00g,1
그레이프맛의 칼로리는 몇이야?,(1캔)(355ml)당 - 칼로리: 192kcal | 지방: 0.00g | 탄수화물: 48.00g | 단백질: 0.00g,1
그린&페퍼 닭가슴살의 칼로리는 몇이야?,(1인분)  (110g)당 - 칼로리: 121kcal | 지방: 0.91g | 탄수화물: 0.61g | 단백질: 27.50g,1
그린애플 포도쥬얼리 크러쉬의 칼로리는 몇이야?,(1인분)  (454ml)당 - 칼로리: 311kcal | 지방: 2.60g | 탄수화물: 48.30g | 단백질: 0.50g,1
그린티 위드 진생 앤 허니의 칼로리는 몇이야?,(1인분)  (240ml)당 - 칼로리: 70kcal | 지방: 0.00g | 탄수화물: 18.00g | 단백질: 0.00g,1
금귤의 칼로리는 몇이야?,(1개)당 - 칼로리: 13kcal | 지방: 0.16g | 탄수화물: 3.02g | 단백질: 0.36g,1
기네스 와퍼의 칼로리는 몇이야?,(1인분)  (293g)당 - 칼로리: 778kcal | 지방: 14.30g | 탄수화물: 11.90g | 단백질: 36.00g,1
기름보관된 정어리의 칼로리는 몇이야?,1 캔당 - 칼로리: 191kcal | 지방: 10.53g | 탄수화물: 0.00g | 단백질: 22.65g,1
긴페스츄리 와플의 칼로리는 몇이야?,(1인분)  (60g)당 - 칼로리: 236kcal | 지방: 12.00g | 탄수화물: 28.00g | 단백질: 4.00g,1
김말이의 칼로리는 몇이야?,(1개)당 - 칼로리: 65kcal | 지방: 1.87g | 탄수화물: 11.11g | 단백질: 0.70g,1
김치비빔국수의 칼로리는 몇이야?,(1인분)당 - 칼로리: 213kcal | 지방: 3.20g | 탄수화물: 38.40g | 단백질: 7.06g,1
김치전의 칼로리는 몇이야?,1 소접시당 - 칼로리: 153kcal | 지방: 6.71g | 탄수화물: 17.22g | 단백질: 6.32g,1
김치찌개의 칼로리는 몇이야?,(1인분)당 - 칼로리: 121kcal | 지방: 7.57g | 탄수화물: 6.47g | 단백질: 7.51g,1
까르보네피자의 칼로리는 몇이야?,2조각 (184g)당 - 칼로리: 480kcal | 지방: 7.00g | 탄수화물: 81.00g | 단백질: 22.00g,1
깍두기의 칼로리는 몇이야?,1 소접시당 - 칼로리: 16kcal | 지방: 0.29g | 탄수화물: 3.21g | 단백질: 0.62g,1
깐쇼새우피자의 칼로리는 몇이야?,1조각 (108g)당 - 칼로리: 325kcal | 지방: 9.00g | 탄수화물: 46.00g | 단백질: 15.00g,1
깔라만시 스파클링의 칼로리는 몇이야?,1개 (350g)당 - 칼로리: 170kcal | 지방: 0.00g | 탄수화물: 43.00g | 단백질: 0.00g,1
깔라만시레몬워터의 칼로리는 몇이야?,410ml당 - 칼로리: 84kcal | 지방: 0.00g | 탄수화물: 10.00g | 단백질: 0.00g,1
깔라만시의 칼로리는 몇이야?,(100g)당 - 칼로리: 30kcal | 지방: 0.00g | 탄수화물: 7.00g | 단백질: 0.00g,1
깨수깡의 칼로리는 몇이야?,(1인분)  (160ml)당 - 칼로리: 85kcal | 지방: 0.00g | 탄수화물: 21.00g | 단백질: 0.00g,1
꼬막의 칼로리는 몇이야?,(1개) 작은것당 - 칼로리: 7kcal | 지방: 0.10g | 탄수화물: 0.25g | 단백질: 1.25g,1
꼬치 어묵의 칼로리는 몇이야?,1개 (85g)당 - 칼로리: 85kcal | 지방: 0.60g | 탄수화물: 13.00g | 단백질: 6.00g,1
꼼장어의 칼로리는 몇이야?,(1인분)당 - 칼로리: 101kcal | 지방: 6.38g | 탄수화물: 0g | 단백질: 10.20g,1
꽁치 통조림의 칼로리는 몇이야?,(100g)당 - 칼로리: 185kcal | 지방: 15.00g | 탄수화물: 0.00g | 단백질: 11.00g,1
꽁치구이의 칼로리는 몇이야?,(1토막)당 - 칼로리: 180kcal | 지방: 13.45g | 탄수화물: 0.51g | 단백질: 14.15g,1
꽁치의 칼로리는 몇이야?,(1마리)당 - 칼로리: 236kcal | 지방: 17.55g | 탄수화물: 0g | 단백질: 18.35g,1
꽁치조림의 칼로리는 몇이야?,(1토막)당 - 칼로리: 195kcal | 지방: 12.68g | 탄수화물: 6.22g | 단백질: 14.34g,1
꽃게찜의 칼로리는 몇이야?,(1마리)당 - 칼로리: 219kcal | 지방: 10.18g | 탄수화물: 9.27g | 단백질: 22.38g,1
꿀먹은초록매실의 칼로리는 몇이야?,(1인분)  (180ml)당 - 칼로리: 120kcal | 지방: 0.00g | 탄수화물: 30.00g | 단백질: 0.00g,1
꿀물의 칼로리는 몇이야?,1병 (180ml)당 - 칼로리: 84kcal | 지방: 0.00g | 탄수화물: 21.00g | 단백질: 0.00g,1
꿀홍삼 (230ml)의 칼로리는 몇이야?,1병 (230ml)당 - 칼로리: 175kcal | 지방: 0.00g | 탄수화물: 44.00g | 단백질: 0.00g,1
나랑드 사이다 제로의 칼로리는 몇이야?,(1인분)  (245ml)당 - 칼로리: 0kcal | 지방: 0.00g | 탄수화물: 0.00g | 단백질: 0.00g,1
나폴리피자의 칼로리는 몇이야?,1조각 (95g)당 - 칼로리: 205kcal | 지방: 9.00g | 탄수화물: 30.00g | 단백질: 11.00g,1
낙지볶음의 칼로리는 몇이야?,(1인분)당 - 칼로리: 555kcal | 지방: 22.89g | 탄수화물: 30.08g | 단백질: 57.24g,1
낙지의 칼로리는 몇이야?,(100g)  당 - 칼로리: 54kcal | 지방: 0.68g | 탄수화물: 1.44g | 단백질: 9.75g,1
낙지전골의 칼로리는 몇이야?,(1인분)당 - 칼로리: 416kcal | 지방: 19.46g | 탄수화물: 32.92g | 단백질: 34.21g,1
낙지젓갈의 칼로리는 몇이야?,1 종지당 - 칼로리: 15kcal | 지방: 0.34g | 탄수화물: 1.73g | 단백질: 1.16g,1
낙지호롱의 칼로리는 몇이야?,(1개)당 - 칼로리: 142kcal | 지방: 6.10g | 탄수화물: 9.84g | 단백질: 13.86g,1
날치알의 칼로리는 몇이야?,(100g)  당 - 칼로리: 96kcal | 지방: 4.82g | 탄수화물: 1.65g | 단백질: 12.79g,1
남해안 큰꼬막의 칼로리는 몇이야?,(100g)당 - 칼로리: 70kcal | 지방: 0.00g | 탄수화물: 9.00g | 단백질: 8.00g,1
냉동 딸기의 칼로리는 몇이야?,(1컵)당 - 칼로리: 222kcal | 지방: 0.36g | 탄수화물: 59.82g | 단백질: 1.33g,1
냉동 블랙베리의 칼로리는 몇이야?,(1컵)당 - 칼로리: 97kcal | 지방: 0.65g | 탄수화물: 23.66g | 단백질: 1.78g,1
냉동 블루베리의 칼로리는 몇이야?,(1컵)당 - 칼로리: 79kcal | 지방: 0.99g | 탄수화물: 18.86g | 단백질: 0.65g,1
냉동 산딸기의 칼로리는 몇이야?,(1컵)당 - 칼로리: 258kcal | 지방: 0.40g | 탄수화물: 65.40g | 단백질: 1.75g,1
냉동딸기와 설탕의 칼로리는 몇이야?,(1컵)당 - 칼로리: 222kcal | 지방: 0.36g | 탄수화물: 59.82g | 단백질: 1.33g,1
냉동망고의 칼로리는 몇이야?,(100g)  당 - 칼로리: 61kcal | 지방: 0.25g | 탄수화물: 15.89g | 단백질: 0.48g,1
냉동블루베리의 칼로리는 몇이야?,(100g)당 - 칼로리: 75kcal | 지방: 1.00g | 탄수화물: 14.50g | 단백질: 0.70g,1
냉동홍연어의 칼로리는 몇이야?,(1인분)  (170g)당 - 칼로리: 290kcal | 지방: 15.00g | 탄수화물: 0.00g | 단백질: 36.00g,1
넙치 반죽튀김의 칼로리는 몇이야?,1 쪽 필렛당 - 칼로리: 318kcal | 지방: 17.98g | 탄수화물: 10.40g | 단백질: 27.34g,1
넙치구이의 칼로리는 몇이야?,1 쪽 필렛당 - 칼로리: 173kcal | 지방: 5.51g | 탄수화물: 0.53g | 단백질: 28.60g,1
네버스탑의 칼로리는 몇이야?,(1인분)  (240ml)당 - 칼로리: 66kcal | 지방: 0.00g | 탄수화물: 16.00g | 단백질: 0.00g,1
네이블 오렌지의 칼로리는 몇이야?,(1개)당 - 칼로리: 69kcal | 지방: 0.21g | 탄수화물: 17.56g | 단백질: 1.27g,1
노가리의 칼로리는 몇이야?,(100g)  당 - 칼로리: 348kcal | 지방: 3.67g | 탄수화물: 0g | 단백질: 78.40g,1
노르망디 애플타르트의 칼로리는 몇이야?,1회 (69g)당 - 칼로리: 190kcal | 지방: 10.00g | 탄수화물: 23.00g | 단백질: 2.00g,1
녹차두유의 칼로리는 몇이야?,1회 (175ml)당 - 칼로리: 130kcal | 지방: 4.50g | 탄수화물: 19.00g | 단백질: 4.00g,1
농어의 칼로리는 몇이야?,1 쪽 필렛당 - 칼로리: 152kcal | 지방: 5.99g | 탄수화물: 0.50g | 단백질: 22.82g,1
농축토마토의 칼로리는 몇이야?,(100g)당 - 칼로리: 65kcal | 지방: 0.80g | 탄수화물: 12.00g | 단백질: 3.00g,1
눈꽃소다의 칼로리는 몇이야?,1회 (350ml)당 - 칼로리: 160kcal | 지방: 0.00g | 탄수화물: 39.00g | 단백질: 1.00g,1
다이스 황도 인 주스의 칼로리는 몇이야?,1용기 (113g)당 - 칼로리: 80kcal | 지방: 0.00g | 탄수화물: 18.00g | 단백질: 0.00g,1
다이어트 소다의 칼로리는 몇이야?,1 캔당 - 칼로리: 4kcal | 지방: 0.07g | 탄수화물: 0.84g | 단백질: 0.39g,1
다타키의 칼로리는 몇이야?,(100g)  당 - 칼로리: 84kcal | 지방: 0.36g | 탄수화물: 3.60g | 단백질: 15.10g,1
단감의 칼로리는 몇이야?,(1개)당 - 칼로리: 70kcal | 지방: 0.22g | 탄수화물: 18.48g | 단백질: 0.44g,1
단호박 식혜의 칼로리는 몇이야?,(1인분)  (238ml)당 - 칼로리: 146kcal | 지방: 0.00g | 탄수화물: 36.00g | 단백질: 1.00g,1
단호박죽의 칼로리는 몇이야?,1팩 (130g)당 - 칼로리: 95kcal | 지방: 0.00g | 탄수화물: 20.00g | 단백질: 4.00g,1
달콤한 체리의 칼로리는 몇이야?,(1개)당 - 칼로리: 4kcal | 지방: 0.01g | 탄수화물: 1.09g | 단백질: 0.07g,1
달팽이의 칼로리는 몇이야?,(1마리)당 - 칼로리: 7kcal | 지방: 0.24g | 탄수화물: 0.12g | 단백질: 0.98g,1
닭가슴살 후랑크 꼬치 페퍼의 칼로리는 몇이야?,1개 (70g)당 - 칼로리: 129kcal | 지방: 8.00g | 탄수화물: 2.00g | 단백질: 12.00g,1
닭가슴살의 칼로리는 몇이야?,(100g)  당 - 칼로리: 141kcal | 지방: 1.45g | 탄수화물: 2.05g | 단백질: 30.85g,1
닭안심살피자의 칼로리는 몇이야?,1조각 (110g)당 - 칼로리: 420kcal | 지방: 9.00g | 탄수화물: 71.00g | 단백질: 14.00g,1
대게의 칼로리는 몇이야?,(100g)  당 - 칼로리: 70kcal | 지방: 0.86g | 탄수화물: 0.03g | 단백질: 14.45g,1
대구구이의 칼로리는 몇이야?,(100g)  당 - 칼로리: 122kcal | 지방: 3.59g | 탄수화물: 0.41g | 단백질: 20.91g,1
대구의 칼로리는 몇이야?,(100g)  당 - 칼로리: 211kcal | 지방: 10.84g | 탄수화물: 8.25g | 단백질: 19.20g,1
대서양 고등어의 칼로리는 몇이야?,(1마리)당 - 칼로리: 230kcal | 지방: 15.56g | 탄수화물: 0.00g | 단백질: 20.83g,1
대서양 대구의 칼로리는 몇이야?,(1마리)당 - 칼로리: 189kcal | 지방: 1.55g | 탄수화물: 0.00g | 단백질: 41.14g,1
대서양과 태평양 넙치의 칼로리는 몇이야?,(100g)  당 - 칼로리: 110kcal | 지방: 2.29g | 탄수화물: 0.0g | 단백질: 20.81g,1
대추의 칼로리는 몇이야?,1 알당 - 칼로리: 23kcal | 지방: 0.03g | 탄수화물: 6.23g | 단백질: 0.20g,1
더 건강한 크랩의 칼로리는 몇이야?,1팩 8개 (150g)당 - 칼로리: 155kcal | 지방: 2.40g | 탄수화물: 15.00g | 단백질: 18.00g,1
더 건강한 페퍼&갈릭의 칼로리는 몇이야?,(100g)당 - 칼로리: 330kcal | 지방: 29.00g | 탄수화물: 3.00g | 단백질: 14.00g,1
더블갈릭바베큐의 칼로리는 몇이야?,2조각 (165g)당 - 칼로리: 447kcal | 지방: 6.00g | 탄수화물: 60.00g | 단백질: 20.00g,1
더킹 쉬림프 크림치즈의 칼로리는 몇이야?,(100g)당 - 칼로리: 90kcal | 지방: 1.80g | 탄수화물: 10.00g | 단백질: 8.00g,1
데미소다 레몬의 칼로리는 몇이야?,(1캔)(250ml)당 - 칼로리: 95kcal | 지방: 0.00g | 탄수화물: 24.00g | 단백질: 0.00g,1
데미소다 복숭아의 칼로리는 몇이야?,(1캔)(250ml)당 - 칼로리: 120kcal | 지방: 0.00g | 탄수화물: 30.00g | 단백질: 0.00g,1
데미소다 청포도의 칼로리는 몇이야?,(1인분)  (250ml)당 - 칼로리: 85kcal | 지방: 0.00g | 탄수화물: 21.00g | 단백질: 0.00g,1
데일리씨 망고400의 칼로리는 몇이야?,1병 (140ml)당 - 칼로리: 64kcal | 지방: 0.00g | 탄수화물: 16.00g | 단백질: 0.00g,1
델리황 매운맛 (20g)의 칼로리는 몇이야?,1봉지 (20g)당 - 칼로리: 75kcal | 지방: 0.70g | 탄수화물: 7.00g | 단백질: 10.00g,1
도다리의 칼로리는 몇이야?,(100g)  당 - 칼로리: 115kcal | 지방: 2.80g | 탄수화물: 0g | 단백질: 21.08g,1
도루묵의 칼로리는 몇이야?,(100g)  당 - 칼로리: 109kcal | 지방: 5.44g | 탄수화물: 0g | 단백질: 14.13g,1
도미의 칼로리는 몇이야?,(1마리)당 - 칼로리: 218kcal | 지방: 2.92g | 탄수화물: 0.00g | 단백질: 44.71g,1
도이치바이트피자의 칼로리는 몇이야?,2조각 (188g)당 - 칼로리: 485kcal | 지방: 24.00g | 탄수화물: 63.00g | 단백질: 23.00g,1
도토리묵의 칼로리는 몇이야?,(100g)  당 - 칼로리: 44kcal | 지방: 0.20g | 탄수화물: 10.00g | 단백질: 0.20g,1
돈까스김밥의 칼로리는 몇이야?,1 줄당 - 칼로리: 526kcal | 지방: 9.73g | 탄수화물: 91.34g | 단백질: 14.73g,1
돈부리의 칼로리는 몇이야?,(1인분)당 - 칼로리: 655kcal | 지방: 15.61g | 탄수화물: 95.87g | 단백질: 29.03g,1
돈부의 칼로리는 몇이야?,1/9봉지 (30g)당 - 칼로리: 118kcal | 지방: 1.80g | 탄수화물: 23.00g | 단백질: 3.00g,1
돌 망고 컵의 칼로리는 몇이야?,(1인분)  (198g)당 - 칼로리: 145kcal | 지방: 0.40g | 탄수화물: 34.00g | 단백질: 1.00g,1
돌김 자반볶음의 칼로리는 몇이야?,1회 (65g)당 - 칼로리: 565kcal | 지방: 40.16g | 탄수화물: 30.62g | 단백질: 20.30g,1
돌아온 와클의 칼로리는 몇이야?,(1인분)  (76g)당 - 칼로리: 377kcal | 지방: 17.00g | 탄수화물: 51.00g | 단백질: 5.00g,1
동그랑땡의 칼로리는 몇이야?,(1개)당 - 칼로리: 30kcal | 지방: 2.11g | 탄수화물: 0.93g | 단백질: 1.72g,1
동원알래스카연어통살의 칼로리는 몇이야?,(100g)당 - 칼로리: 135kcal | 지방: 9.00g | 탄수화물: 1.00g | 단백질: 13.00g,1
동태국의 칼로리는 몇이야?,(1인분)당 - 칼로리: 219kcal | 지방: 5.23g | 탄수화물: 17.54g | 단백질: 25.97g,1
