Q,A,label
꿩불고기의 칼로리는 얼마야?,꿩불고기의 영양성분은 500g당 | 에너지(㎉) : 368 | 수분(g) : 412 | 단백질(g) : 33 | 지방(g) : 8 | 총 식이섬유(g) : 39 | 칼슘(㎎) : 9 | 철(㎍) : 105 | 칼륨(㎎) : 4 | 나트륨(㎎) : 1243,1
김치국의 칼로리는 얼마야?,김치국의 영양성분은 450g당 | 에너지(㎉) : 89 | 수분(g) : 425 | 단백질(g) : 5 | 지방(g) : 2 | 총 식이섬유(g) : 10 | 칼슘(㎎) : 4 | 철(㎍) : 113 | 칼륨(㎎) : 1 | 나트륨(㎎) : 516,1
떡만둣국의 칼로리는 얼마야?,떡만둣국의 영양성분은 700g당 | 에너지(㎉) : 624 | 수분(g) : 551 | 단백질(g) : 20 | 지방(g) : 11 | 총 식이섬유(g) : 110 | 칼슘(㎎) : 8 | 철(㎍) : 99 | 칼륨(㎎) : 21 | 나트륨(㎎) : 369,1
만둣국의 칼로리는 얼마야?,만둣국의 영양성분은 700g당 | 에너지(㎉) : 434 | 수분(g) : 604 | 단백질(g) : 21 | 지방(g) : 17 | 총 식이섬유(g) : 47 | 칼슘(㎎) : 32 | 철(㎍) : 123 | 칼륨(㎎) : 26 | 나트륨(㎎) : 509,1
맑은감자국의 칼로리는 얼마야?,맑은감자국의 영양성분은 700g당 | 에너지(㎉) : 221 | 수분(g) : 644 | 단백질(g) : 8 | 지방(g) : 5 | 총 식이섬유(g) : 34 | 칼슘(㎎) : 5 | 철(㎍) : 115 | 칼륨(㎎) : 2 | 나트륨(㎎) : 1138,1
매생이국의 칼로리는 얼마야?,매생이국의 영양성분은 500g당 | 에너지(㎉) : 119 | 수분(g) : 468 | 단백질(g) : 10 | 지방(g) : 2 | 총 식이섬유(g) : 13 | 칼슘(㎎) : 9 | 철(㎍) : 125 | 칼륨(㎎) : 17 | 나트륨(㎎) : 330,1
무된장국의 칼로리는 얼마야?,무된장국의 영양성분은 450g당 | 에너지(㎉) : 104 | 수분(g) : 421 | 단백질(g) : 6 | 지방(g) : 2 | 총 식이섬유(g) : 14 | 칼슘(㎎) : 5 | 철(㎍) : 90 | 칼륨(㎎) : 1 | 나트륨(㎎) : 553,1
미소된장국의 칼로리는 얼마야?,미소된장국의 영양성분은 150g당 | 에너지(㎉) : 38 | 수분(g) : 141 | 단백질(g) : 2 | 지방(g) : 1 | 총 식이섬유(g) : 2 | 칼슘(㎎) : 0 | 철(㎍) : 27 | 칼륨(㎎) : 0 | 나트륨(㎎) : 88,1
바지락조개국의 칼로리는 얼마야?,바지락조개국의 영양성분은 550g당 | 에너지(㎉) : 157 | 수분(g) : 508 | 단백질(g) : 22 | 지방(g) : 3 | 총 식이섬유(g) : 10 | 칼슘(㎎) : 8 | 철(㎍) : 369 | 칼륨(㎎) : 21 | 나트륨(㎎) : 394,1
뼈다귀해장국의 칼로리는 얼마야?,뼈다귀해장국의 영양성분은 1000g당 | 에너지(㎉) : 714 | 수분(g) : 854 | 단백질(g) : 74 | 지방(g) : 35 | 총 식이섬유(g) : 23 | 칼슘(㎎) : 17 | 철(㎍) : 670 | 칼륨(㎎) : 7 | 나트륨(㎎) : 1199,1
선지해장국의 칼로리는 얼마야?,선지해장국의 영양성분은 1000g당 | 에너지(㎉) : 312 | 수분(g) : 919 | 단백질(g) : 49 | 지방(g) : 5 | 총 식이섬유(g) : 16 | 칼슘(㎎) : 9 | 철(㎍) : 206 | 칼륨(㎎) : 78 | 나트륨(㎎) : 641,1
소고기무국의 칼로리는 얼마야?,소고기무국의 영양성분은 400g당 | 에너지(㎉) : 123 | 수분(g) : 371 | 단백질(g) : 14 | 지방(g) : 4 | 총 식이섬유(g) : 7 | 칼슘(㎎) : 3 | 철(㎍) : 59 | 칼륨(㎎) : 1 | 나트륨(㎎) : 336,1
소고기미역국의 칼로리는 얼마야?,소고기미역국의 영양성분은 650g당 | 에너지(㎉) : 151 | 수분(g) : 613 | 단백질(g) : 18 | 지방(g) : 5 | 총 식이섬유(g) : 7 | 칼슘(㎎) : 8 | 철(㎍) : 149 | 칼륨(㎎) : 3 | 나트륨(㎎) : 204,1
순대국의 칼로리는 얼마야?,순대국의 영양성분은 800g당 | 에너지(㎉) : 540 | 수분(g) : 700 | 단백질(g) : 43 | 지방(g) : 33 | 총 식이섬유(g) : 17 | 칼슘(㎎) : 26 | 철(㎍) : 105 | 칼륨(㎎) : 72 | 나트륨(㎎) : 456,1
시래기된장국의 칼로리는 얼마야?,시래기된장국의 영양성분은 450g당 | 에너지(㎉) : 99 | 수분(g) : 424 | 단백질(g) : 6 | 지방(g) : 3 | 총 식이섬유(g) : 11 | 칼슘(㎎) : 6 | 철(㎍) : 213 | 칼륨(㎎) : 2 | 나트륨(㎎) : 329,1
올갱이국의 칼로리는 얼마야?,올갱이국의 영양성분은 600g당 | 에너지(㎉) : 144 | 수분(g) : 560 | 단백질(g) : 13 | 지방(g) : 4 | 총 식이섬유(g) : 13 | 칼슘(㎎) : 5 | 철(㎍) : 391 | 칼륨(㎎) : 13 | 나트륨(㎎) : 599,1
우거지해장국의 칼로리는 얼마야?,우거지해장국의 영양성분은 600g당 | 에너지(㎉) : 154 | 수분(g) : 561 | 단백질(g) : 11 | 지방(g) : 5 | 총 식이섬유(g) : 13 | 칼슘(㎎) : 8 | 철(㎍) : 198 | 칼륨(㎎) : 2 | 나트륨(㎎) : 561,1
우렁된장국의 칼로리는 얼마야?,우렁된장국의 영양성분은 500g당 | 에너지(㎉) : 245 | 수분(g) : 440 | 단백질(g) : 24 | 지방(g) : 7 | 총 식이섬유(g) : 19 | 칼슘(㎎) : 8 | 철(㎍) : 656 | 칼륨(㎎) : 6 | 나트륨(㎎) : 599,1
탕국의 칼로리는 얼마야?,탕국의 영양성분은 250g당 | 에너지(㎉) : 92 | 수분(g) : 229 | 단백질(g) : 13 | 지방(g) : 4 | 총 식이섬유(g) : 0 | 칼슘(㎎) : 4 | 철(㎍) : 76 | 칼륨(㎎) : 1 | 나트륨(㎎) : 235,1
홍합미역국의 칼로리는 얼마야?,홍합미역국의 영양성분은 650g당 | 에너지(㎉) : 167 | 수분(g) : 607 | 단백질(g) : 19 | 지방(g) : 4 | 총 식이섬유(g) : 11 | 칼슘(㎎) : 9 | 철(㎍) : 227 | 칼륨(㎎) : 10 | 나트륨(㎎) : 246,1
황태해장국의 칼로리는 얼마야?,황태해장국의 영양성분은 600g당 | 에너지(㎉) : 181 | 수분(g) : 557 | 단백질(g) : 24 | 지방(g) : 6 | 총 식이섬유(g) : 5 | 칼슘(㎎) : 5 | 철(㎍) : 164 | 칼륨(㎎) : 1 | 나트륨(㎎) : 503,1
고추잡채의 칼로리는 얼마야?,고추잡채의 영양성분은 200g당 | 에너지(㎉) : 256 | 수분(g) : 148 | 단백질(g) : 10 | 지방(g) : 12 | 총 식이섬유(g) : 26 | 칼슘(㎎) : 4 | 철(㎍) : 32 | 칼륨(㎎) : 24 | 나트륨(㎎) : 269,1
난자완스의 칼로리는 얼마야?,난자완스의 영양성분은 200g당 | 에너지(㎉) : 346 | 수분(g) : 135 | 단백질(g) : 21 | 지방(g) : 20 | 총 식이섬유(g) : 19 | 칼슘(㎎) : 3 | 철(㎍) : 33 | 칼륨(㎎) : 22 | 나트륨(㎎) : 315,1
도토리묵말이의 칼로리는 얼마야?,도토리묵말이의 영양성분은 1300g당 | 에너지(㎉) : 462 | 수분(g) : 1186 | 단백질(g) : 6 | 지방(g) : 8 | 총 식이섬유(g) : 89 | 칼슘(㎎) : 14 | 철(㎍) : 164 | 칼륨(㎎) : 3 | 나트륨(㎎) : 521,1
라조기의 칼로리는 얼마야?,라조기의 영양성분은 200g당 | 에너지(㎉) : 398 | 수분(g) : 127 | 단백질(g) : 20 | 지방(g) : 23 | 총 식이섬유(g) : 26 | 칼슘(㎎) : 2 | 철(㎍) : 72 | 칼륨(㎎) : 21 | 나트륨(㎎) : 320,1
물회의 칼로리는 얼마야?,물회의 영양성분은 700g당 | 에너지(㎉) : 529 | 수분(g) : 583 | 단백질(g) : 34 | 지방(g) : 18 | 총 식이섬유(g) : 55 | 칼슘(㎎) : 15 | 철(㎍) : 212 | 칼륨(㎎) : 1 | 나트륨(㎎) : 1119,1
생선물회의 칼로리는 얼마야?,생선물회의 영양성분은 800g당 | 에너지(㎉) : 577 | 수분(g) : 660 | 단백질(g) : 34 | 지방(g) : 12 | 총 식이섬유(g) : 82 | 칼슘(㎎) : 11 | 철(㎍) : 185 | 칼륨(㎎) : 2 | 나트륨(㎎) : 1212,1
소고기샤브샤브의 칼로리는 얼마야?,소고기샤브샤브의 영양성분은 600g당 | 에너지(㎉) : 263 | 수분(g) : 542 | 단백질(g) : 29 | 지방(g) : 9 | 총 식이섬유(g) : 14 | 칼슘(㎎) : 9 | 철(㎍) : 95 | 칼륨(㎎) : 3 | 나트륨(㎎) : 663,1
오징어순대의 칼로리는 얼마야?,오징어순대의 영양성분은 350g당 | 에너지(㎉) : 466 | 수분(g) : 235 | 단백질(g) : 45 | 지방(g) : 5 | 총 식이섬유(g) : 58 | 칼슘(㎎) : 4 | 철(㎍) : 78 | 칼륨(㎎) : 1 | 나트륨(㎎) : 697,1
초당순두부의 칼로리는 얼마야?,초당순두부의 영양성분은 900g당 | 에너지(㎉) : 522 | 수분(g) : 799 | 단백질(g) : 49 | 지방(g) : 29 | 총 식이섬유(g) : 15 | 칼슘(㎎) : 10 | 철(㎍) : 333 | 칼륨(㎎) : 6 | 나트륨(㎎) : 1042,1
해파리냉채의 칼로리는 얼마야?,해파리냉채의 영양성분은 150g당 | 에너지(㎉) : 91 | 수분(g) : 127 | 단백질(g) : 6 | 지방(g) : 1 | 총 식이섬유(g) : 13 | 칼슘(㎎) : 2 | 철(㎍) : 44 | 칼륨(㎎) : 0 | 나트륨(㎎) : 113,1
고들빼기의 칼로리는 얼마야?,고들빼기의 영양성분은 50g당 | 에너지(㎉) : 55 | 수분(g) : 34 | 단백질(g) : 1 | 지방(g) : 0 | 총 식이섬유(g) : 10 | 칼슘(㎎) : 2 | 철(㎍) : 25 | 칼륨(㎎) : 1 | 나트륨(㎎) : 125,1
열무얼갈이김치의 칼로리는 얼마야?,열무얼갈이김치의 영양성분은 50g당 | 에너지(㎉) : 17 | 수분(g) : 44 | 단백질(g) : 1 | 지방(g) : 0 | 총 식이섬유(g) : 2 | 칼슘(㎎) : 1 | 철(㎍) : 39 | 칼륨(㎎) : 1 | 나트륨(㎎) : 154,1
미나리나물의 칼로리는 얼마야?,미나리나물의 영양성분은 50g당 | 에너지(㎉) : 29 | 수분(g) : 44 | 단백질(g) : 1 | 지방(g) : 1 | 총 식이섬유(g) : 2 | 칼슘(㎎) : 1 | 철(㎍) : 38 | 칼륨(㎎) : 0 | 나트륨(㎎) : 119,1
취나물의 칼로리는 얼마야?,취나물의 영양성분은 50g당 | 에너지(㎉) : 74 | 수분(g) : 38 | 단백질(g) : 1 | 지방(g) : 6 | 총 식이섬유(g) : 3 | 칼슘(㎎) : 3 | 철(㎍) : 74 | 칼륨(㎎) : 0 | 나트륨(㎎) : 63,1
콩나물의 칼로리는 얼마야?,콩나물의 영양성분은 50g당 | 에너지(㎉) : 25 | 수분(g) : 45 | 단백질(g) : 1 | 지방(g) : 1 | 총 식이섬유(g) : 0 | 칼슘(㎎) : 1 | 철(㎍) : 18 | 칼륨(㎎) : 0 | 나트륨(㎎) : 40,1
경단(깨)의 칼로리는 얼마야?,경단(깨)의 영양성분은 100g당 | 에너지(㎉) : 319 | 수분(g) : 19 | 단백질(g) : 4 | 지방(g) : 0 | 총 식이섬유(g) : 74 | 칼슘(㎎) : 5 | 철(㎍) : 62 | 칼륨(㎎) : 0 | 나트륨(㎎) : 50,1
경단(콩)의 칼로리는 얼마야?,경단(콩)의 영양성분은 100g당 | 에너지(㎉) : 314 | 수분(g) : 21 | 단백질(g) : 3 | 지방(g) : 0 | 총 식이섬유(g) : 74 | 칼슘(㎎) : 2 | 철(㎍) : 10 | 칼륨(㎎) : 0 | 나트륨(㎎) : 69,1
기피편의 칼로리는 얼마야?,기피편의 영양성분은 100g당 | 에너지(㎉) : 219 | 수분(g) : 44 | 단백질(g) : 5 | 지방(g) : 0 | 총 식이섬유(g) : 48 | 칼슘(㎎) : 5 | 철(㎍) : 12 | 칼륨(㎎) : 0 | 나트륨(㎎) : 130,1
녹두시루떡의 칼로리는 얼마야?,녹두시루떡의 영양성분은 100g당 | 에너지(㎉) : 246 | 수분(g) : 40 | 단백질(g) : 7 | 지방(g) : 2 | 총 식이섬유(g) : 48 | 칼슘(㎎) : 4 | 철(㎍) : 25 | 칼륨(㎎) : 1 | 나트륨(㎎) : 250,1
메밀전병의 칼로리는 얼마야?,메밀전병의 영양성분은 100g당 | 에너지(㎉) : 167 | 수분(g) : 64 | 단백질(g) : 6 | 지방(g) : 6 | 총 식이섬유(g) : 21 | 칼슘(㎎) : 3 | 철(㎍) : 35 | 칼륨(㎎) : 1 | 나트륨(㎎) : 159,1
무지개떡의 칼로리는 얼마야?,무지개떡의 영양성분은 100g당 | 에너지(㎉) : 228 | 수분(g) : 42 | 단백질(g) : 3 | 지방(g) : 0 | 총 식이섬유(g) : 53 | 칼슘(㎎) : 0 | 철(㎍) : 9 | 칼륨(㎎) : 1 | 나트륨(㎎) : 32,1
송편(깨)의 칼로리는 얼마야?,송편(깨)의 영양성분은 100g당 | 에너지(㎉) : 224 | 수분(g) : 46 | 단백질(g) : 4 | 지방(g) : 2 | 총 식이섬유(g) : 44 | 칼슘(㎎) : 4 | 철(㎍) : 70 | 칼륨(㎎) : 0 | 나트륨(㎎) : 86,1
송편(콩)의 칼로리는 얼마야?,송편(콩)의 영양성분은 100g당 | 에너지(㎉) : 194 | 수분(g) : 51 | 단백질(g) : 5 | 지방(g) : 0 | 총 식이섬유(g) : 41 | 칼슘(㎎) : 4 | 철(㎍) : 16 | 칼륨(㎎) : 0 | 나트륨(㎎) : 109,1
수수부꾸미의 칼로리는 얼마야?,수수부꾸미의 영양성분은 100g당 | 에너지(㎉) : 247 | 수분(g) : 44 | 단백질(g) : 5 | 지방(g) : 6 | 총 식이섬유(g) : 42 | 칼슘(㎎) : 7 | 철(㎍) : 17 | 칼륨(㎎) : 1 | 나트륨(㎎) : 190,1
수수팥떡의 칼로리는 얼마야?,수수팥떡의 영양성분은 100g당 | 에너지(㎉) : 204 | 수분(g) : 48 | 단백질(g) : 6 | 지방(g) : 0 | 총 식이섬유(g) : 43 | 칼슘(㎎) : 8 | 철(㎍) : 21 | 칼륨(㎎) : 1 | 나트륨(㎎) : 248,1
시루떡의 칼로리는 얼마야?,시루떡의 영양성분은 100g당 | 에너지(㎉) : 217 | 수분(g) : 45 | 단백질(g) : 5 | 지방(g) : 0 | 총 식이섬유(g) : 47 | 칼슘(㎎) : 4 | 철(㎍) : 18 | 칼륨(㎎) : 6 | 나트륨(㎎) : 200,1
쑥떡의 칼로리는 얼마야?,쑥떡의 영양성분은 100g당 | 에너지(㎉) : 248 | 수분(g) : 37 | 단백질(g) : 3 | 지방(g) : 0 | 총 식이섬유(g) : 57 | 칼슘(㎎) : 2 | 철(㎍) : 16 | 칼륨(㎎) : 0 | 나트륨(㎎) : 75,1
절편의 칼로리는 얼마야?,절편의 영양성분은 100g당 | 에너지(㎉) : 192 | 수분(g) : 51 | 단백질(g) : 3 | 지방(g) : 0 | 총 식이섬유(g) : 43 | 칼슘(㎎) : 0 | 철(㎍) : 9 | 칼륨(㎎) : 2 | 나트륨(㎎) : 30,1
찹쌀떡의 칼로리는 얼마야?,찹쌀떡의 영양성분은 100g당 | 에너지(㎉) : 276 | 수분(g) : 29 | 단백질(g) : 3 | 지방(g) : 0 | 총 식이섬유(g) : 65 | 칼슘(㎎) : 1 | 철(㎍) : 12 | 칼륨(㎎) : 3 | 나트륨(㎎) : 52,1
간자장의 칼로리는 얼마야?,간자장의 영양성분은 650g당 | 에너지(㎉) : 824 | 수분(g) : 463 | 단백질(g) : 22 | 지방(g) : 22 | 총 식이섬유(g) : 134 | 칼슘(㎎) : 28 | 철(㎍) : 116 | 칼륨(㎎) : 34 | 나트륨(㎎) : 729,1
굴짬뽕의 칼로리는 얼마야?,굴짬뽕의 영양성분은 900g당 | 에너지(㎉) : 680 | 수분(g) : 732 | 단백질(g) : 32 | 지방(g) : 9 | 총 식이섬유(g) : 115 | 칼슘(㎎) : 8 | 철(㎍) : 444 | 칼륨(㎎) : 9 | 나트륨(㎎) : 712,1
기스면의 칼로리는 얼마야?,기스면의 영양성분은 1000g당 | 에너지(㎉) : 606 | 수분(g) : 853 | 단백질(g) : 37 | 지방(g) : 10 | 총 식이섬유(g) : 89 | 칼슘(㎎) : 6 | 철(㎍) : 340 | 칼륨(㎎) : 5 | 나트륨(㎎) : 464,1
김치라면의 칼로리는 얼마야?,김치라면의 영양성분은 650g당 | 에너지(㎉) : 552 | 수분(g) : 525 | 단백질(g) : 13 | 지방(g) : 16 | 총 식이섬유(g) : 86 | 칼슘(㎎) : 8 | 철(㎍) : 291 | 칼륨(㎎) : 1 | 나트륨(㎎) : 590,1
김치우동의 칼로리는 얼마야?,김치우동의 영양성분은 800g당 | 에너지(㎉) : 500 | 수분(g) : 672 | 단백질(g) : 15 | 지방(g) : 4 | 총 식이섬유(g) : 99 | 칼슘(㎎) : 9 | 철(㎍) : 114 | 칼륨(㎎) : 2 | 나트륨(㎎) : 472,1
냉김치말이국수의 칼로리는 얼마야?,냉김치말이국수의 영양성분은 600g당 | 에너지(㎉) : 302 | 수분(g) : 522 | 단백질(g) : 12 | 지방(g) : 4 | 총 식이섬유(g) : 52 | 칼슘(㎎) : 4 | 철(㎍) : 130 | 칼륨(㎎) : 1 | 나트륨(㎎) : 595,1
닭칼국수의 칼로리는 얼마야?,닭칼국수의 영양성분은 900g당 | 에너지(㎉) : 663 | 수분(g) : 743 | 단백질(g) : 42 | 지방(g) : 12 | 총 식이섬유(g) : 94 | 칼슘(㎎) : 9 | 철(㎍) : 85 | 칼륨(㎎) : 1 | 나트륨(㎎) : 710,1
둘깨칼국수의 칼로리는 얼마야?,둘깨칼국수의 영양성분은 600g당 | 에너지(㎉) : 457 | 수분(g) : 501 | 단백질(g) : 17 | 지방(g) : 16 | 총 식이섬유(g) : 59 | 칼슘(㎎) : 8 | 철(㎍) : 176 | 칼륨(㎎) : 2 | 나트륨(㎎) : 550,1
막국수의 칼로리는 얼마야?,막국수의 영양성분은 1000g당 | 에너지(㎉) : 571 | 수분(g) : 855 | 단백질(g) : 20 | 지방(g) : 5 | 총 식이섬유(g) : 109 | 칼슘(㎎) : 14 | 철(㎍) : 113 | 칼륨(㎎) : 3 | 나트륨(㎎) : 436,1
삼선우동의 칼로리는 얼마야?,삼선우동의 영양성분은 1000g당 | 에너지(㎉) : 691 | 수분(g) : 828 | 단백질(g) : 47 | 지방(g) : 8 | 총 식이섬유(g) : 105 | 칼슘(㎎) : 8 | 철(㎍) : 212 | 칼륨(㎎) : 5 | 나트륨(㎎) : 516,1
삼선자장면의 칼로리는 얼마야?,삼선자장면의 영양성분은 700g당 | 에너지(㎉) : 803 | 수분(g) : 513 | 단백질(g) : 33 | 지방(g) : 18 | 총 식이섬유(g) : 126 | 칼슘(㎎) : 10 | 철(㎍) : 120 | 칼륨(㎎) : 7 | 나트륨(㎎) : 640,1
삼선짬뽕의 칼로리는 얼마야?,삼선짬뽕의 영양성분은 900g당 | 에너지(㎉) : 662 | 수분(g) : 738 | 단백질(g) : 39 | 지방(g) : 10 | 총 식이섬유(g) : 101 | 칼슘(㎎) : 7 | 철(㎍) : 400 | 칼륨(㎎) : 7 | 나트륨(㎎) : 659,1
쌀국수의 칼로리는 얼마야?,쌀국수의 영양성분은 600g당 | 에너지(㎉) : 320 | 수분(g) : 520 | 단백질(g) : 15 | 지방(g) : 4 | 총 식이섬유(g) : 55 | 칼슘(㎎) : 1 | 철(㎍) : 41 | 칼륨(㎎) : 1 | 나트륨(㎎) : 253,1
열무김치국수의 칼로리는 얼마야?,열무김치국수의 영양성분은 800g당 | 에너지(㎉) : 431 | 수분(g) : 694 | 단백질(g) : 15 | 지방(g) : 10 | 총 식이섬유(g) : 69 | 칼슘(㎎) : 9 | 철(㎍) : 257 | 칼륨(㎎) : 2 | 나트륨(㎎) : 869,1
열무냉면의 칼로리는 얼마야?,열무냉면의 영양성분은 800g당 | 에너지(㎉) : 525 | 수분(g) : 665 | 단백질(g) : 20 | 지방(g) : 5 | 총 식이섬유(g) : 97 | 칼슘(㎎) : 40 | 철(㎍) : 177 | 칼륨(㎎) : 37 | 나트륨(㎎) : 628,1
오일소스스파게티의 칼로리는 얼마야?,오일소스스파게티의 영양성분은 400g당 | 에너지(㎉) : 646 | 수분(g) : 263 | 단백질(g) : 19 | 지방(g) : 23 | 총 식이섬유(g) : 89 | 칼슘(㎎) : 11 | 철(㎍) : 111 | 칼륨(㎎) : 3 | 나트륨(㎎) : 468,1
올갱이국수의 칼로리는 얼마야?,올갱이국수의 영양성분은 1500g당 | 에너지(㎉) : 566 | 수분(g) : 1358 | 단백질(g) : 11 | 지방(g) : 8 | 총 식이섬유(g) : 111 | 칼슘(㎎) : 22 | 철(㎍) : 245 | 칼륨(㎎) : 2 | 나트륨(㎎) : 802,1
